100 1000
15 11 99 
58 25 -8 
-47 54 -62 
32 57 16 
13 -29 3 
-100 -78 92 
-19 42 59 
-12 72 -61 
21 98 -15 
45 -67 50 
-74 -37 -52 
27 -59 -92 
-44 -20 -69 
90 4 -36 
-76 -19 29 
-53 55 70 
12 94 -17 
-6 7 -93 
19 40 -24 
-34 87 42 
27 -38 76 
-98 -30 63 
11 -28 53 
96 10 24 
-78 -73 -79 
-25 8 -10 
68 -5 73 
82 92 -94 
53 70 87 
30 -86 -88 
-10 56 52 
3 40 -45 
-30 -1 -59 
-44 -77 -88 
50 84 55 
91 30 96 
-20 -37 22 
9 64 -30 
93 62 58 
5 -2 -16 
-4 62 22 
-26 96 -85 
43 -12 67 
33 51 7 
-87 -66 -97 
-35 10 -63 
-57 18 -89 
57 -69 27 
-88 -43 -51 
80 -10 82 
10 87 31 
86 50 -60 
2 88 -73 
30 -66 77 
97 16 35 
-5 -76 40 
100 -16 11 
96 -22 -67 
78 -27 90 
-14 71 21 
64 25 -70 
-90 -65 -52 
55 66 73 
-6 -8 -36 
-74 88 40 
42 29 -40 
9 93 -38 
94 3 80 
-28 -68 9 
-76 -95 -65 
-73 -68 57 
-74 12 40 
-74 -53 54 
52 51 40 
-85 -46 4 
-100 -97 -90 
2 -65 -45 
38 49 -47 
3 77 -36 
11 -56 -5 
39 -8 -22 
67 -59 -86 
73 3 62 
-41 64 -93 
-86 -38 -51 
-40 -58 -50 
16 53 -29 
-53 -40 -77 
10 50 -54 
-30 76 -24 
-25 -39 53 
81 79 34 
18 81 52 
-87 78 19 
20 74 1 
-79 27 77 
-42 -26 55 
36 -27 -37 
34 52 -69 
14 42 -29 
38 -70 -7 
-30 -92 -57 
-85 7 -30 
83 24 51 
63 -35 -45 
12 -61 -30 
-67 -79 42 
-90 12 -58 
-39 97 8 
-71 95 -86 
64 87 -54 
-59 -31 -74 
2 70 78 
42 25 48 
-40 99 -39 
53 13 -58 
-87 -73 -23 
80 94 -100 
63 -78 93 
-70 -91 15 
36 -54 78 
-71 89 91 
80 60 -34 
97 63 5 
-56 -88 -77 
44 77 32 
19 59 -96 
-12 75 66 
-14 44 -22 
-85 -17 5 
16 -25 -90 
16 86 2 
60 87 -48 
28 -99 56 
-3 -72 80 
-39 85 1 
25 -53 -75 
82 2 25 
-14 77 -16 
11 92 70 
67 -98 61 
60 -63 48 
11 -91 -68 
88 -8 90 
81 -64 -68 
-25 42 -68 
97 61 9 
-71 -51 -93 
7 -65 67 
-54 11 -85 
-9 -27 87 
-72 -73 47 
-10 -79 13 
30 66 -18 
-42 22 26 
31 32 -81 
68 96 14 
25 -73 35 
-78 -91 32 
99 75 71 
-99 86 81 
97 -87 13 
-4 -12 -90 
59 -32 -11 
-95 66 -8 
84 -51 65 
22 -5 -70 
-3 -41 -22 
-49 1 -29 
-28 -98 31 
53 -89 14 
52 -41 -99 
18 -41 -86 
-67 54 29 
-24 40 -76 
55 -33 -83 
-56 23 -41 
-61 41 82 
-37 -18 57 
-22 -5 58 
6 -92 73 
-72 -33 -34 
-6 3 -72 
80 48 81 
-33 -44 -54 
-67 73 57 
-66 30 28 
-85 -30 38 
6 63 13 
84 36 69 
-17 5 -53 
-72 -81 -15 
-16 94 -92 
-52 -16 -60 
-2 -15 -72 
68 -88 -84 
-95 -2 64 
82 58 -41 
-83 12 -74 
-46 -31 42 
88 -64 19 
47 -83 80 
89 34 -10 
55 -14 -8 
-41 1 65 
64 -81 100 
-50 58 61 
100 94 86 
35 33 -11 
-14 -88 63 
-67 87 91 
4 24 -64 
-7 39 36 
-21 31 66 
-37 -92 91 
-69 -5 9 
-97 -47 -14 
-86 -25 -70 
-81 -7 -95 
-67 -46 -72 
-86 -42 16 
-71 76 12 
-5 -45 6 
-33 -85 -72 
-2 6 47 
-43 -40 -62 
-81 99 -72 
89 45 -19 
-26 47 14 
-6 11 -36 
18 -17 51 
75 -46 -22 
83 -45 -85 
-53 -5 40 
-20 -59 40 
72 81 18 
3 63 31 
4 -10 98 
-94 -80 -74 
80 -48 98 
40 26 77 
53 -4 67 
-10 90 -13 
67 -24 28 
72 -8 -97 
63 -84 -15 
-35 9 53 
14 -66 -33 
-13 -51 -53 
-33 -21 83 
-2 -60 75 
46 96 33 
-41 15 82 
62 39 87 
-72 50 -20 
30 -49 22 
-73 -17 21 
-95 29 26 
28 73 -14 
59 -97 -13 
-89 34 -31 
76 38 -53 
-41 85 -7 
-24 79 -90 
-55 -86 -24 
-27 -8 -79 
46 28 -86 
-62 -77 34 
-89 50 33 
-66 -20 -31 
90 -51 37 
43 -73 -9 
3 -93 -99 
-42 -59 -50 
-62 60 79 
-88 79 -60 
-54 -10 84 
63 -41 -83 
-75 57 -98 
-37 14 -79 
-88 -85 2 
-56 88 18 
29 79 20 
90 48 22 
-68 -87 55 
15 -35 -87 
-27 20 -85 
-86 -60 17 
4 -53 -3 
71 7 -40 
46 -51 -71 
12 55 -10 
-21 -96 -14 
40 -89 30 
54 19 -91 
-30 89 17 
6 -34 -23 
-30 19 93 
-7 -47 -19 
-2 90 65 
30 -59 -10 
6 21 2 
84 -97 47 
-34 49 33 
78 29 84 
99 48 -27 
-52 -77 24 
-98 -97 -13 
44 -85 64 
-17 -54 -76 
59 -83 -57 
33 -51 75 
-56 -1 79 
-83 82 71 
19 11 -60 
57 -32 7 
90 65 -92 
79 -61 81 
-46 -55 -71 
85 -40 80 
76 48 36 
3 48 24 
82 95 -55 
23 31 28 
-52 -97 -21 
36 91 -15 
-48 -71 8 
6 62 50 
-63 -13 -39 
-45 -84 -10 
-94 64 -57 
-80 -79 63 
-71 -86 73 
-75 83 -11 
-62 -4 5 
-13 -93 -3 
-67 -69 90 
-70 76 57 
69 -25 -99 
64 43 26 
76 74 -30 
-55 -73 -15 
-41 27 90 
92 -58 28 
57 -61 -99 
-55 -56 -22 
-48 1 15 
75 28 45 
-74 94 -96 
-37 57 42 
93 31 70 
-23 46 -84 
-21 19 -26 
-61 -13 -15 
99 -29 -73 
33 -35 41 
-66 64 -46 
-74 20 -12 
-11 8 63 
52 42 48 
-48 51 -25 
-91 80 19 
7 10 98 
82 9 -87 
-14 -48 18 
-15 67 -21 
-70 76 18 
68 -28 -10 
-95 -59 -11 
88 -41 75 
11 44 38 
23 60 56 
85 68 50 
72 53 90 
-88 -51 -93 
63 17 3 
38 20 -64 
36 -98 -40 
78 -12 44 
-27 -56 20 
70 41 89 
-61 75 -100 
65 73 -42 
72 -18 -74 
10 33 -49 
-100 38 33 
7 -30 87 
-6 23 2 
-73 -49 85 
-29 19 75 
-75 45 -80 
86 -21 34 
69 54 41 
3 81 -43 
41 47 80 
11 -84 55 
15 82 2 
-36 -11 -56 
-17 89 -34 
64 -25 83 
54 16 71 
-99 -41 79 
-74 63 -92 
-89 49 84 
-72 4 -38 
30 -72 -99 
41 67 51 
82 -10 45 
27 45 -42 
55 66 -46 
-85 -56 -87 
61 6 5 
13 -70 -74 
-12 -64 8 
-71 73 -6 
-39 -82 -10 
-48 -46 68 
-48 20 -38 
-70 -35 60 
-7 -35 1 
-10 -41 13 
-20 -47 -48 
40 50 60 
62 -75 46 
67 -13 -41 
46 7 -78 
83 35 -53 
-88 76 -6 
-59 -69 -36 
-55 7 -15 
-18 -2 -65 
-86 -3 93 
17 44 -9 
-76 -40 46 
-21 -69 -52 
1 71 38 
-59 -100 39 
6 -81 -43 
27 67 -93 
47 90 -94 
-89 71 56 
-2 -80 -63 
63 -67 -91 
99 50 -14 
-26 65 66 
-13 -47 -91 
35 92 34 
76 -14 -3 
-22 -16 18 
-97 -58 38 
-91 -89 -31 
-19 -27 -29 
-87 94 19 
41 9 -82 
28 67 -63 
-50 7 41 
-70 -14 -40 
-14 39 -12 
-11 -1 90 
-55 62 70 
94 97 67 
-6 57 -41 
-30 36 -24 
-98 -34 86 
-9 29 -58 
74 -85 -31 
-49 100 -76 
42 -95 28 
-19 5 -29 
-70 -85 56 
75 45 -35 
-33 88 -4 
71 79 -70 
-85 22 -56 
42 -30 27 
26 94 -5 
12 -57 1 
-44 -71 30 
12 71 16 
66 -53 40 
67 -89 43 
-88 66 -22 
16 73 -97 
99 -54 28 
81 28 -65 
-68 100 -65 
68 -69 59 
-35 54 -67 
-26 39 77 
76 -70 28 
66 88 -43 
88 85 -58 
-55 -44 -65 
-76 24 26 
64 -57 29 
-40 -32 86 
-9 44 41 
-11 -29 16 
-11 -20 30 
53 -23 17 
-92 -18 46 
-83 68 -75 
-2 68 47 
-16 -83 -88 
8 92 48 
-34 81 -95 
25 28 36 
-79 94 42 
47 18 70 
72 -85 30 
-61 -13 -93 
-60 98 88 
-98 -80 18 
83 -82 -69 
-18 82 -55 
4 80 61 
70 -93 61 
-69 80 42 
-77 -46 51 
17 35 81 
-45 -4 2 
100 84 -63 
51 43 95 
71 -61 15 
-67 70 -66 
90 -42 10 
-3 -16 93 
-77 95 -38 
51 69 -93 
2 -13 91 
-53 -12 85 
-53 55 10 
-32 36 -62 
-92 -89 -35 
19 -60 -49 
-7 -68 -20 
98 -35 -74 
-68 14 -20 
51 92 -21 
-57 80 41 
-55 -46 19 
-38 8 -31 
-88 -17 41 
-3 57 96 
-93 73 37 
-100 86 70 
61 -84 -52 
13 -15 86 
21 13 66 
30 -93 67 
4 57 -12 
11 68 -34 
-44 68 -84 
97 -23 -94 
77 2 -41 
-60 48 -62 
-28 -2 94 
92 63 41 
88 -47 -81 
49 2 -75 
-9 14 -57 
60 -93 7 
-13 -91 2 
11 -29 -60 
-53 65 95 
48 -36 72 
-46 28 51 
10 61 68 
-19 -25 -83 
-69 -23 -29 
6 -69 48 
-85 53 -12 
71 67 96 
-8 48 -41 
83 98 17 
94 2 -27 
-30 49 61 
32 70 15 
-92 -14 -69 
-22 54 -46 
29 -65 -67 
85 -69 21 
-32 88 27 
93 36 -52 
46 -8 56 
93 72 -26 
-99 25 -77 
1 77 -17 
-13 -70 78 
-24 -5 78 
-95 84 28 
15 -88 100 
91 76 62 
-89 81 -87 
2 9 61 
57 75 -31 
46 -44 -97 
-79 -6 82 
-68 7 -23 
6 69 33 
-38 -9 41 
-60 -24 -3 
-55 60 -43 
3 -67 -56 
-42 91 29 
41 -83 -37 
-52 71 -13 
-27 -91 -49 
78 -73 -43 
-24 -10 -38 
30 -15 50 
-90 -26 -7 
-74 -49 1 
-64 76 96 
-80 51 -29 
-70 -30 25 
65 36 78 
84 -73 -46 
43 16 13 
-86 39 -16 
77 67 3 
76 -65 18 
32 12 -45 
-77 84 97 
60 26 -81 
-39 -49 72 
8 -49 21 
-82 13 -26 
69 -20 -67 
-88 -87 65 
-97 -28 -52 
-5 -65 86 
-88 -1 -41 
58 28 -3 
68 -73 56 
36 55 -24 
25 -6 -18 
-39 -13 -20 
-32 44 47 
96 17 -51 
-74 5 -85 
24 44 10 
30 -24 34 
59 -71 94 
-32 -16 42 
15 -49 -60 
-58 -94 -26 
62 -3 89 
-73 88 14 
-37 -67 2 
-51 43 11 
46 42 30 
-59 -54 48 
25 81 -7 
-85 -46 -55 
-78 82 -94 
-34 -97 68 
-71 66 -3 
-57 3 35 
58 79 16 
40 -65 64 
-48 -94 -8 
16 49 77 
82 -11 -58 
25 -72 -42 
-78 10 61 
58 90 -56 
53 40 -70 
20 54 -7 
37 -66 6 
-17 -21 34 
-45 -53 -42 
96 79 -19 
-62 41 87 
18 25 44 
91 58 28 
30 -5 -92 
57 19 -33 
80 -57 -69 
19 -56 70 
-90 91 -99 
-62 38 -92 
-48 89 76 
-86 -14 -56 
25 -71 73 
-78 -19 1 
-51 61 86 
-10 45 -33 
-35 -76 -54 
25 27 -4 
66 -45 69 
31 92 77 
-10 -87 -88 
-89 -37 48 
11 -26 83 
-75 -98 -19 
23 -39 -83 
83 -51 -72 
-51 -75 44 
-56 78 -23 
-36 -3 -66 
55 -44 76 
72 -4 -60 
12 28 29 
-95 -33 98 
86 -25 32 
-14 -60 96 
78 -16 14 
-66 29 -61 
-31 -50 -62 
60 50 19 
-20 -32 -48 
-27 74 -29 
31 -78 -82 
-7 43 53 
-27 54 99 
82 -90 -92 
-92 -2 3 
-59 94 73 
-94 -74 -13 
20 -54 -25 
81 8 -33 
-97 64 -38 
-62 16 -9 
-20 -57 -78 
-69 -29 78 
91 80 -61 
36 -34 -43 
-95 13 -97 
-67 37 65 
-15 -46 -34 
96 -38 -6 
-20 97 -30 
-10 -24 9 
79 84 -1 
9 -20 -17 
59 -26 -39 
24 -15 44 
-13 -64 31 
30 -60 -59 
26 -33 53 
95 8 -7 
-21 24 -49 
98 -87 -40 
14 58 -41 
4 -91 -41 
65 91 -32 
26 74 99 
-57 85 55 
24 -81 2 
76 33 93 
87 -66 -98 
26 95 -77 
-44 46 48 
61 80 73 
64 -50 78 
71 86 -53 
-27 -35 -57 
-41 84 -30 
24 32 -53 
-13 74 50 
-88 31 72 
-85 -79 80 
-22 12 -43 
-86 12 44 
-62 -26 -47 
-34 49 67 
-83 52 -36 
-78 14 12 
-83 65 14 
-14 23 35 
-18 98 68 
-31 68 -92 
-99 -42 12 
-60 -8 -26 
-98 -5 -73 
52 -49 4 
-63 -92 35 
-26 100 54 
-88 76 -10 
25 59 -21 
-19 -93 -58 
-20 -22 -11 
-2 -46 3 
-98 -93 24 
-60 -86 69 
100 5 72 
-63 9 99 
-77 -65 -74 
28 40 47 
95 72 50 
-92 -12 22 
60 -48 39 
55 68 10 
69 -37 -53 
-22 81 -84 
2 3 -67 
-74 -20 -44 
-98 -92 23 
79 67 -95 
36 -13 -45 
18 -87 93 
49 17 -87 
