100 600 
-78 2 89 
-39 7 80 
57 84 83 
10 18 -77 
-30 17 -33 
49 -91 93 
-17 24 19 
-58 -82 57 
-9 67 -57 
5 48 -94 
28 86 29 
87 -73 -25 
-80 -7 -30 
61 13 -78 
-11 39 54 
-90 -31 71 
-79 5 -88 
22 -84 -73 
-42 -35 -29 
-54 -41 79 
-57 74 51 
-4 64 -60 
-98 -30 12 
18 29 -58 
-83 -26 89 
-63 -54 20 
70 56 -89 
-18 -90 -78 
35 84 14 
60 -83 -22 
41 -94 -74 
34 25 81 
23 39 34 
-45 66 37 
81 60 93 
18 93 -74 
65 -54 41 
-100 -82 36 
22 -26 54 
74 -8 100 
90 11 -43 
-65 100 -90 
-29 -1 -23 
-29 -50 44 
18 -34 -84 
48 11 -92 
56 38 -90 
62 8 90 
76 22 66 
11 -76 14 
-85 68 -11 
-32 50 -51 
78 -73 -89 
-73 14 -13 
-57 -34 53 
-32 -52 -75 
-37 78 -12 
99 -76 22 
-70 31 -97 
20 -49 71 
44 -78 -80 
93 -97 20 
40 90 -45 
-1 13 12 
-57 -45 -83 
-94 -63 -42 
-81 86 -38 
-66 31 82 
-13 -89 -80 
52 -46 -10 
-2 -96 100 
24 -6 39 
77 -4 33 
-34 -87 8 
64 -72 -69 
-3 98 82 
-8 -16 -85 
-80 -20 84 
23 -37 71 
37 48 -20 
-79 9 -59 
-75 -5 -9 
28 -91 -50 
-69 -82 83 
-33 21 -11 
-72 25 -2 
-45 -30 -29 
11 -18 36 
29 83 51 
-39 7 27 
-80 -53 13 
-39 -50 70 
-61 -9 -57 
76 5 11 
-45 77 -7 
19 -66 -65 
-14 -67 48 
52 -44 -65 
-71 -67 5 
47 1 43 
-81 88 -19 
-76 75 -56 
-10 83 -27 
-67 -81 16 
57 -85 21 
74 76 78 
40 -20 -25 
16 -66 -22 
-30 -25 96 
-53 33 24 
59 89 -45 
-66 24 33 
-43 32 21 
-28 99 88 
-16 -13 70 
-92 -50 2 
21 54 9 
-64 -75 -97 
54 95 -35 
25 11 39 
-36 -73 31 
27 52 90 
-29 79 32 
46 -77 -23 
34 -81 -14 
-63 18 -10 
-98 -74 25 
32 58 -44 
40 82 -11 
45 -89 -40 
-16 -86 4 
-50 -99 -42 
-85 7 98 
-11 -65 42 
43 -31 -82 
-49 48 85 
-15 41 -43 
30 11 -52 
-83 32 -59 
-3 -79 -43 
50 -14 72 
-60 -69 72 
-38 -9 72 
-58 -6 66 
39 -11 -90 
-100 12 -22 
-57 27 21 
-3 17 53 
98 -26 -77 
-92 -22 -34 
76 89 46 
-77 17 -71 
63 60 22 
-80 71 95 
-33 100 -36 
42 -84 44 
-88 58 -83 
18 -11 73 
21 74 33 
87 -21 -66 
57 81 93 
-76 23 -21 
13 86 39 
-81 -3 67 
-89 -70 6 
72 41 27 
-100 -98 65 
38 -88 70 
50 24 -10 
-84 48 -38 
39 19 -82 
100 -44 25 
-2 -60 50 
60 -50 -20 
12 60 -10 
72 -92 -10 
-98 -96 -9 
48 -60 -90 
-31 23 22 
76 -69 74 
56 -32 21 
17 -66 -10 
41 -74 93 
26 20 -28 
-57 -27 96 
40 -34 -37 
-7 30 -4 
96 68 -80 
-83 67 93 
-19 85 -8 
-60 -84 93 
-6 45 94 
94 -28 -44 
-83 -97 -65 
-93 45 88 
-75 -78 -67 
-34 66 44 
-53 15 36 
-90 -17 -74 
75 -5 42 
-83 -97 49 
4 -48 -93 
-89 27 72 
3 52 -36 
10 -70 -94 
100 -74 -50 
-37 92 -8 
-87 84 88 
20 -61 78 
-79 -25 24 
-67 -53 -69 
-4 -81 -29 
90 -94 -25 
91 -35 -51 
-35 9 25 
83 -87 -51 
-4 -45 -61 
80 53 37 
-32 -35 -26 
33 15 -89 
9 61 -3 
95 -6 -28 
57 50 24 
-50 65 5 
23 58 73 
99 -92 -45 
-33 35 17 
100 72 -96 
62 65 34 
84 -63 -33 
-57 -59 11 
-73 -91 -11 
-2 13 23 
17 45 -33 
84 85 46 
53 22 81 
54 -21 -81 
67 88 -90 
37 61 -5 
-58 45 -91 
-11 -1 -46 
9 65 10 
-78 96 3 
-39 -68 -80 
83 47 -70 
-35 -9 6 
-94 -96 95 
53 82 25 
-26 100 -30 
-20 99 53 
55 39 58 
